Dataset,Dist,shape,loc,scale,kCS,Variable
x1_dom_kCS005,Lognormal,0.6751515267893821,0.0,103.0602743159405,0.05,x1
x1_dom_kCS005,Gamma,2.369735271458997,0.0,54.49583020274561,0.05,x1
decay_time_kCS005,Lognormal,0.3178648421425712,0.0,19.615803404345638,0.05,decay
decay_time_kCS005,Gamma,9.81950924575548,0.0,2.1038032762857712,0.05,decay
x3_umbral10_kCS005,Lognormal,1.0684436223812288,0.0,96.80946049626667,0.05,x3
x3_umbral10_kCS005,Gamma,1.2092028780349613,0.0,127.76380319973067,0.05,x3
x1_dom_kCS010,Lognormal,0.678360572635596,0.0,104.95634113036665,0.1,x1
x1_dom_kCS010,Gamma,2.348375111941921,0.0,56.125533222820344,0.1,x1
decay_time_kCS010,Lognormal,0.3988972355361157,0.0,24.79377399411401,0.1,decay
decay_time_kCS010,Gamma,6.247605486072654,0.0,4.308347977157257,0.1,decay
x3_kCS010,Lognormal,1.0583413798065917,0.0,98.89181883433065,0.1,x3
x3_kCS010,Gamma,1.2218549802629548,0.0,128.47256002074204,0.1,x3
x1_dom_kCS015,Lognormal,0.659249359523324,0.0,114.86531881632155,0.15,x1
x1_dom_kCS015,Gamma,2.4968327930210705,0.0,56.94910140301943,0.15,x1
decay_time_kCS015,Lognormal,0.4898486094372661,0.0,32.47435647921107,0.15,decay
decay_time_kCS015,Gamma,4.182625797453621,0.0,8.791545836368227,0.15,decay
x3_kCS015,Lognormal,1.0917634177450477,0.0,94.08614964241063,0.15,x3
x3_kCS015,Gamma,1.1615800486146626,0.0,132.03483678273298,0.15,x3
